testcase, useOMP(1/0), time, threadsnum, collapse
0, 1, 0.000699, 40, 3
0, 1, 0.000766, 41, 1
0, 1, 0.000748, 41, 2
0, 1, 0.000697, 41, 3
0, 1, 0.000763, 42, 1
0, 1, 0.000750, 42, 2
0, 1, 0.000705, 42, 3
0, 1, 0.000777, 43, 1
0, 1, 0.000748, 43, 2
0, 1, 0.000706, 43, 3
0, 1, 0.000771, 44, 1
0, 1, 0.000759, 44, 2
0, 1, 0.000723, 44, 3
0, 1, 0.000782, 45, 1
0, 1, 0.000777, 45, 2
0, 1, 0.000725, 45, 3
0, 1, 0.000783, 46, 1
0, 1, 0.000779, 46, 2
0, 1, 0.000748, 46, 3
0, 1, 0.000802, 47, 1
0, 1, 0.000783, 47, 2
0, 1, 0.000736, 47, 3
0, 1, 0.000804, 48, 1
0, 1, 0.000781, 48, 2
0, 1, 0.000781, 48, 3
0, 1, 0.000807, 49, 1
0, 1, 0.000787, 49, 2
0, 1, 0.000749, 49, 3
0, 1, 0.000820, 50, 1
0, 1, 0.000810, 50, 2
0, 1, 0.000755, 50, 3
0, 1, 0.000808, 51, 1
0, 1, 0.000814, 51, 2
0, 1, 0.000762, 51, 3
0, 1, 0.000806, 52, 1
0, 1, 0.000805, 52, 2
0, 1, 0.000764, 52, 3
0, 1, 0.000819, 53, 1
0, 1, 0.000800, 53, 2
0, 1, 0.000780, 53, 3
0, 1, 0.000849, 54, 1
0, 1, 0.000812, 54, 2
0, 1, 0.000761, 54, 3
0, 1, 0.000831, 55, 1
0, 1, 0.000813, 55, 2
0, 1, 0.000784, 55, 3
0, 1, 0.000844, 56, 1
0, 1, 0.000831, 56, 2
0, 1, 0.000795, 56, 3
0, 1, 0.000851, 57, 1
0, 1, 0.000849, 57, 2
0, 1, 0.000807, 57, 3
0, 1, 0.000884, 58, 1
0, 1, 0.000849, 58, 2
0, 1, 0.000811, 58, 3
0, 1, 0.000860, 59, 1
0, 1, 0.000856, 59, 2
0, 1, 0.000821, 59, 3
0, 1, 0.000872, 60, 1
0, 1, 0.000883, 60, 2
0, 1, 0.000828, 60, 3
0, 1, 0.000883, 61, 1
0, 1, 0.000873, 61, 2
0, 1, 0.000825, 61, 3
